content,month_str,quarter_str,year_str,value,,
Profiles: Companies,2007-05,2007-Q2,2007,9,,
Profiles: Companies,2007-06,2007-Q2,2007,59,,
Profiles: Companies,2007-07,2007-Q3,2007,168,,
Profiles: Companies,2007-08,2007-Q3,2007,406,,
Profiles: Companies,2007-09,2007-Q3,2007,183,,
Profiles: Companies,2007-10,2007-Q4,2007,127,,
Profiles: Companies,2007-11,2007-Q4,2007,230,,
Profiles: Companies,2007-12,2007-Q4,2007,163,,
Profiles: Companies,2008-01,2008-Q1,2008,159,,
Profiles: Companies,2008-02,2008-Q1,2008,612,,
Profiles: Companies,2008-03,2008-Q1,2008,775,,
Profiles: Companies,2008-04,2008-Q2,2008,748,,
Profiles: Companies,2008-05,2008-Q2,2008,888,,
Profiles: Companies,2008-06,2008-Q2,2008,1141,,
Profiles: Companies,2008-07,2008-Q3,2008,1072,,
Profiles: Companies,2008-08,2008-Q3,2008,975,,
Profiles: Companies,2008-09,2008-Q3,2008,990,,
Profiles: Companies,2008-10,2008-Q4,2008,1082,,
Profiles: Companies,2008-11,2008-Q4,2008,1130,,
Profiles: Companies,2008-12,2008-Q4,2008,1418,,
Profiles: Companies,2009-01,2009-Q1,2009,1567,,
Profiles: Companies,2009-02,2009-Q1,2009,877,,
Profiles: Companies,2009-03,2009-Q1,2009,971,,
Profiles: Companies,2009-04,2009-Q2,2009,1153,,
Profiles: Companies,2009-05,2009-Q2,2009,1161,,
Profiles: Companies,2009-06,2009-Q2,2009,1909,,
Profiles: Companies,2009-07,2009-Q3,2009,2058,,
Profiles: Companies,2009-08,2009-Q3,2009,1859,,
Profiles: Companies,2009-09,2009-Q3,2009,1741,,
Profiles: Companies,2009-10,2009-Q4,2009,1344,,
Profiles: Companies,2009-11,2009-Q4,2009,1406,,
Profiles: Companies,2009-12,2009-Q4,2009,1864,,
Profiles: Companies,2010-01,2010-Q1,2010,1974,,
Profiles: Companies,2010-02,2010-Q1,2010,1492,,
Profiles: Companies,2010-03,2010-Q1,2010,1909,,
Profiles: Companies,2010-04,2010-Q2,2010,1750,,
Profiles: Companies,2010-05,2010-Q2,2010,1681,,
Profiles: Companies,2010-06,2010-Q2,2010,1614,,
Profiles: Companies,2010-07,2010-Q3,2010,2192,,
Profiles: Companies,2010-08,2010-Q3,2010,2199,,
Profiles: Companies,2010-09,2010-Q3,2010,2020,,
Profiles: Companies,2010-10,2010-Q4,2010,2486,,
Profiles: Companies,2010-11,2010-Q4,2010,2178,,
Profiles: Companies,2010-12,2010-Q4,2010,2115,,
Profiles: Companies,2011-01,2011-Q1,2011,2063,,
Profiles: Companies,2011-02,2011-Q1,2011,2168,,
Profiles: Companies,2011-03,2011-Q1,2011,2074,,
Profiles: Companies,2011-04,2011-Q2,2011,1856,,
Profiles: Companies,2011-05,2011-Q2,2011,1973,,
Profiles: Companies,2011-06,2011-Q2,2011,2169,,
Profiles: Companies,2011-07,2011-Q3,2011,2284,,
Profiles: Companies,2011-08,2011-Q3,2011,2003,,
Profiles: Companies,2011-09,2011-Q3,2011,1807,,
Profiles: Companies,2011-10,2011-Q4,2011,1852,,
Profiles: Companies,2011-11,2011-Q4,2011,1716,,
Profiles: Companies,2011-12,2011-Q4,2011,1655,,
Profiles: Companies,2012-01,2012-Q1,2012,1583,,
Profiles: Companies,2012-02,2012-Q1,2012,1512,,
Profiles: Companies,2012-03,2012-Q1,2012,2094,,
Profiles: Companies,2012-04,2012-Q2,2012,2133,,
Profiles: Companies,2012-05,2012-Q2,2012,2286,,
Profiles: Companies,2012-06,2012-Q2,2012,2324,,
Profiles: Companies,2012-07,2012-Q3,2012,2346,,
Profiles: Companies,2012-08,2012-Q3,2012,2488,,
Profiles: Companies,2012-09,2012-Q3,2012,2402,,
Profiles: Companies,2012-10,2012-Q4,2012,2687,,
Profiles: Companies,2012-11,2012-Q4,2012,2464,,
Profiles: Companies,2012-12,2012-Q4,2012,2861,,
Profiles: Companies,2013-01,2013-Q1,2013,2939,,
Profiles: Companies,2013-02,2013-Q1,2013,2986,,
Profiles: Companies,2013-03,2013-Q1,2013,3164,,
Profiles: Companies,2013-04,2013-Q2,2013,8294,,
Profiles: Companies,2013-05,2013-Q2,2013,13302,,
Profiles: Companies,2013-06,2013-Q2,2013,11906,,
Profiles: Companies,2013-07,2013-Q3,2013,9190,,
Profiles: Companies,2013-08,2013-Q3,2013,15618,,
Profiles: Companies,2013-09,2013-Q3,2013,7216,,
Profiles: Companies,2013-10,2013-Q4,2013,6788,,
Profiles: Companies,2013-11,2013-Q4,2013,6506,,
Profiles: Companies,2013-12,2013-Q4,2013,7429,,
