"","company_name","total"
"31","1366 Technologies",40111
"63","20x200",57843
"70","23andMe",58441
"94","2U",54647
"99","33Across",43972
"150","42Floors",53756
"159","4INFO",81471
"170","500px",41622
"253","A Bit Lucky",38850
"265","A10 Networks",50705
"266","A123 Systems",36519
"282","Abe's Market",36200
"320","ACAL Energy",38274
"365","Accumetrics",53301
"371","Accuri Cytometers",36560
"376","Ace Metrix",36795
"387","Achaogen",50560
"399","Achronix Semiconductor",44509
"418","Acquia",52948
"433","Actelis Networks",45838
"435","Actifio",44928
"461","ACTIVE Network",90476
"488","Acumen Holdings",34638
"515","Adaptive Planning",51739
"520","Adapx",47627
"538","AddThis",49548
"573","Adimab",48332
"580","AdKeeper",63570
"609","Adometry",40476
"719","Aereo",50680
"726","Aerohive Networks",37332
"730","Aerovance",54610
"731","Aerpio Therapeutics",39795
"760","Affirmed Networks",48856
"786","Agendia",39651
"795","Aggregate Knowledge",44862
"841","Ahalogy",69489
"853","Aileron Therapeutics",53168
"867","Airbnb",64434
"924","Akebia Therapeutics",74764
"977","Alereon",45457
"978","Alert Logic",54326
"1003","Alien Technology",49988
"1004","AlienVault",46774
"1096","Altair Semiconductor",47448
"1117","Altierre",39298
"1124","Altobeam",60808
"1129","Altruik",38989
"1139","Alyotech",40106
"1157","AmberPoint",35049
"1160","Ambient Devices",37574
"1163","Ambit Biosciences",60516
"1195","Amicus",71047
"1209","Amp'd Mobile",45831
"1216","Amplidata",54056
"1220","Amplify.LA",82990
"1242","Amyris Biotechnologies",47790
"1249","Anacor Pharmaceutical",43823
"1275","AnchorFree",42686
"1299","AngelList",41915
"1384","Apalya",40296
"1387","Apartment List",46743
"1393","Aperto Networks",94967
"1404","Apigee",40683
"1420","Aposense",46982
"1439","Appboy",36888
"1442","Appcelerator",73881
"1453","Apperian",38105
"1478","AppJet",37400
"1511","AppNexus",69219
"1519","Apprion",37981
"1522","Approva",46294
"1543","Appstores.com",77861
"1552","Apptimize",53603
"1553","Apptio",70590
"1572","Apsalar",63991
"1595","Aquantia",60089
"1596","Aquapharm Biodiscovery",42175
"1604","Aquion Energy",43736
"1608","Aragon Pharmaceuticals",35184
"1658","arGEN-X",51911
"1678","ARIO Data Networks",48855
"1687","Ark",66880
"1693","ARKeX",39229
"1735","Arteris",43427
"1747","Artisan Pharma",36527
"1756","Artsy",35433
"1840","Astute Medical",38040
"1861","Aternity",42002
"1913","Attributor",43440
"1955","AuditFile.com",61901
"1968","August",42105
"1980","Aurinia Pharmaceuticals",35667
"2049","Avalanche Technology",39316
"2072","Avedro",40334
"2096","Aviary",36374
"2100","Avid Radiopharmaceuticals",61426
"2102","Aviir",47938
"2110","Avnera",43116
"2146","Axcient",36237
"2203","Azul Systems",44811
"2262","Backupify",77878
"2328","BAROnova",45260
"2368","Bazaarvoice",42948
"2389","BeachMint",45943
"2415","Beceem Communications",71060
"2418","Become",37697
"2441","Behance",38160
"2531","betaworks",54302
"2541","BetterCloud",39260
"2542","BetterDoctor",42946
"2565","Beyond the Rack",43577
"2629","Bill.com",75877
"2632","Billeo",40574
"2666","Biocartis",51757
"2689","Biolex Therapeutics",95695
"2748","BioVex",50522
"2755","BiPar Sciences",38780
"2769","Bit9",56911
"2777","Bitcasa",35532
"2786","Bitium",55184
"2806","Bivio Networks",38921
"2829","Black Duck Software",63300
"2834","BlackArrow",38942
"2840","BlackJet",48952
"2861","Blazent",44853
"2863","Blekko",46329
"2906","Bloomspot",51367
"2936","Blue Nile",36531
"2953","bluebird bio",64363
"2995","Bluestreak Technology",36960
"3029","Bocada",41745
"3050","Bombfell",56845
"3067","Bonobos",39942
"3072","Bookacoach",45520
"3099","Boombotix",44436
"3131","Boston Power",68773
"3157","Box",115442
"3210","BranchOut",85254
"3211","Brand Affinity Technologies",34960
"3240","BravoSolution",55968
"3249","Breakthrough Behavioral",52980
"3259","Breezy",38176
"3275","Bridge U.S.",34909
"3276","BridgeCo",68017
"3277","BridgeLux",64886
"3283","BridgeWave Communications",45007
"3296","Brightcove",80604
"3317","BrightSource Energy",48740
"3321","BrightTag",44909
"3329","Brilliant Telecommunications",49010
"3353","Bromium",44777
"3390","Buffer",71946
"3430","Bungee Labs",42927
"3449","Business Insider",63261
"3485","BuzzFeed",65081
"3532","C9 Inc.",44393
"3571","Calistoga Pharmaceuticals",39888
"3572","Calithera Biosciences",46616
"3592","Calm",41640
"3605","Cambridge Broadband Networks",45121
"3606","Cambridge Communication Systems",36511
"3631","CamSemi",34931
"3640","Canesta",37026
"3656","Canvas Networks",36651
"3672","CapLinked",69048
"3713","Carbon Design Systems",51828
"3733","CardioDx",188246
"3753","Care.com",36800
"3809","CartCrunch",39333
"3824","CarWoo!",81272
"3861","Castlight Health",35434
"3864","Catabasis Pharmaceuticals",67061
"3867","Catalyst Biosciences",68329
"3954","Celladon",39091
"3956","CellBiosciences",42491
"3962","Cellerix",38988
"3986","Celoxica",59168
"4053","Cerulean Pharma",48459
"4075","ChallengePost",61660
"4095","ChannelAdvisor",43482
"4114","Chartbeat",40062
"4133","CheckiO",44667
"4142","Cheezburger",45348
"4146","Chegg",57403
"4151","Chelsio Communications",51128
"4156","ChemoCentryx",35663
"4159","Cherry",35553
"4173","Chiasma",41884
"4182","Chimerix",44662
"4212","Chloe & Isabel",35564
"4227","Christophe & Co",47009
"4233","Chromatik",45792
"4297","CipherMax",80451
"4300","CiraNova",48017
"4302","Circa",138567
"4390","Civitas Learning",39258
"4411","Clarizen",35682
"4456","Clear2Pay",36948
"4467","Clearleap",40147
"4479","ClearSlide",36982
"4486","Clearwire",46231
"4495","Clever",41388
"4532","clickworker GmbH",40703
"4546","Clinkle",42807
"4600","Cloudera",95022
"4665","clypd",38060
"4679","CoachUp",60155
"4686","Coapt Systems",36548
"4689","Cobalt Technologies",43546
"4699","Coda Automotive",35564
"4763","Cogo",66808
"4776","Coinbase",53283
"4824","ColorChip",82154
"4896","Complete Genomics",51535
"4918","CompStak",64711
"4939","Concert Pharmaceuticals",72397
"4963","Conference Hound",37613
"5011","ConSentry Networks",38084
"5054","ContextWeb",37065
"5108","Cooking.com",58462
"5141","Coraid",35322
"5157","CoreOptics",36057
"5166","Coreworx",34566
"5186","Correlsense",42724
"5205","Coskata",50385
"5223","Coupa Software",60462
"5227","Couple",38676
"5238","Coursera",35900
"5244","Covagen",54786
"5253","Coveo",41810
"5314","Credit Karma",40490
"5328","Crescendo Networks",52805
"5349","CriticalBlue",48160
"5363","Crossbar",35814
"5398","CrowdFlower",60608
"5400","CrowdHall",60730
"5418","Crowdtap",35384
"5419","Crowdtilt",56510
"5485","Cue",54771
"5546","CustomMade",44714
"5588","CymaBay Therapeutics",112736
"5618","D-Wave Systems",43661
"5646","DailyWorth",50233
"5664","Danger",51230
"5684","Dash",45784
"5686","Dashbell",77307
"5740","DataSift",56879
"5743","DataStax",41860
"5821","Decide.com",34735
"5841","Deem",67425
"5870","Delenex Therapeutics",38179
"5881","Delivery Hero",56004
"5984","Dexterra",60046
"5990","DFine",43650
"6001","diaDexus",39349
"6025","DiBcom",37595
"6027","Dicerna Pharmaceuticals",46133
"6042","Digg",34848
"6096","Dilithium Networks",35160
"6119","Direct Flow Medical",45745
"6136","Disconnect",45108
"6149","Dispatch",65289
"6151","DisplayLink",56233
"6182","DivX",70251
"6230","DocuSign",110087
"6260","Domo",57425
"6297","dotCloud",53767
"6340","DramaFever",41748
"6346","drchrono",37714
"6389","Dropbox",39954
"6390","Dropcam",41075
"6404","Drync",34907
"6481","E-Blink",71282
"6523","eASIC",53270
"6546","EasyPost",60733
"6573","Ebuzzing",51773
"6602","Eco Market",35274
"6610","ecobee",36198
"6622","ecomom",132684
"6656","EdeniQ",66984
"6760","eHi Car Rental",46623
"6764","Eightfold Logic",42426
"6783","Elance",35343
"6803","Electric Cloud",63547
"6966","EndoGastric Solutions",94631
"6972","Endosense",48547
"7006","Enerkem",69621
"7051","EnOcean",49596
"7072","Ensygnia",65111
"7080","Entellus Medical",42311
"7102","Entrisphere",38120
"7124","enVista",36396
"7199","ERA Biotech",38633
"7207","eRepublik",57605
"7221","ESBATech",38850
"7289","Etsy",46466
"7294","Euclid",49139
"7305","EUSA Pharma",66946
"7320","Eventbrite",38662
"7354","Evernote",71267
"7374","EveryScape",43694
"7434","Exagen Diagnostics",45934
"7457","Exec",36260
"7489","Exosect",36776
"7492","Expa",62688
"7527","Extension Entertainment",35160
"7530","Extole",92135
"7569","Eyeview",43575
"7586","f-star Biotech",60886
"7591","Fab",150658
"7604","Facebook",46488
"7655","Fancy",59633
"7765","Federated Media",53302
"7947","Fisker Automotive",47626
"7955","Fitbit",44881
"7966","Fitocracy",63728
"7974","Five Prime Therapeutics",36733
"8003","Flat World Knowledge",42598
"8007","Flatiron Health",38856
"8040","FlightCar",74762
"8051","Flipboard",76851
"8081","Floqq",78685
"8095","Flowtown",42948
"8104","Fluidigm",50964
"8111","Flurry",58008
"8125","FlyData",43563
"8151","Fon",44641
"8165","Food.ee",55661
"8178","Foodspotting",45424
"8200","Force10 Networks",38468
"8250","Foundation Medicine",36412
"8261","Foursquare",58349
"8329","Friend.ly",44400
"8353","Frontback",72037
"8354","Frontier Silicon",34847
"8396","FullContact",55307
"8405","FundersClub",106000
"8432","Fusion-io",44513
"8479","GainSpan",54111
"8484","Galectin Therapeutics",37897
"8500","Game Trust",35974
"8524","GameSalad",41598
"8566","GateGuru",44883
"8569","Gather",50596
"8575","Gazelle",37509
"8588","GCT Semiconductor",53136
"8591","gdgt",43471
"8620","Gemin X Pharmaceuticals",52601
"8664","Gengo",71258
"8669","Genius.com",38411
"8679","Genocea Biosciences",55060
"8804","Gigaom",47914
"8818","Gigya",39878
"8862","Glam Media",57470
"8873","Glassdoor",45144
"8879","Glaukos",42595
"8943","Glooko",35910
"8962","Glycos Biotechnologies",37708
"9000","GoCoin",41186
"9036","Gomez, Inc.",60931
"9053","Good Technology",72136
"9061","GoodData",54972
"9104","Gowalla",52230
"9111","GrabCAD",37493
"9182","Green Biologics",50059
"9258","GridPoint",37641
"9267","Grockit",74775
"9287","Groupalia",43721
"9295","GroupMe",61372
"9296","Groupon",73276
"9340","Guardium",36227
"9343","Guavus",34730
"9356","Guidecentral",39879
"9418","Haiku Deck",38153
"9420","Hailo",36067
"9440","Hampton Creek Foods",37005
"9496","Harvest Power",46371
"9535","Health Catalyst",35751
"9633","Help Scout",56289
"9643","Helveta",58087
"9677","Heyday",38727
"9683","Heyzap",42584
"9714","Highfive",46890
"9720","HighRoads",34845
"9723","Hightail",51749
"9732","Hinge",41263
"9861","Horizon Discovery",34788
"9870","Hortonworks",40429
"9893","HotelTonight",66683
"9941","HubSpot",53120
"10082","Icera",64453
"10104","iControl Networks",53067
"10169","Ifbyphone",56421
"10175","IfOnly",89539
"10234","Illumitex",44383
"10270","imeem",42448
"10280","immatics biotechnologies",85085
"10283","Immune Design",40908
"10325","Impinj",53106
"10342","IMRSV",62005
"10378","Incident Technologies",61842
"10380","Incipient",35517
"10456","Infinia",79167
"10471","Influitive",59439
"10550","Inkd.com",42661
"10553","Inkling Systems",37235
"10637","Inside Secure.",61777
"10644","InsideView",38455
"10680","Instagram",50077
"10686","InstaMed",39109
"10710","Intacct",49720
"10716","Intarcia Therapeutics",42444
"10720","Intechra Holdings",43212
"10721","IntegenX",41645
"10747","Intelleflex",49176
"10879","Intuity Medical",56628
"10905","Invested.in",89239
"10948","Ionic Security",54460
"11050","iSkoot",38371
"11052","isocket",71951
"11092","ITM Software",35596
"11132","iYogi",39947
"11146","Jacent Technologies",35184
"11150","JackBe",57095
"11198","Jawbone",57247
"11212","Jelli",43877
"11220","JenaValve Technology",34752
"11229","JFDI.Asia",73912
"11235","JIBE",57408
"11248","Jingle Networks",58562
"11288","Jobster",38431
"11331","Joyent",36637
"11366","Jumptap",58994
"11380","just.me",37401
"11382","JustFab",43305
"11408","Kabam",54641
"11410","Kabbage",54222
"11448","Kaltura",59733
"11517","KAYAK",38719
"11541","Keen IO",109115
"11545","Keep Holdings",63570
"11631","KidZui",35402
"11640","Kiip",40029
"11651","Kimerick Technologies",68680
"11655","Kind Intelligence",70668
"11727","Kiwi Crate",49500
"11761","Klout",103919
"11769","Knewton",94740
"11776","Kno",43370
