"","company","investor","hasInvested"
"52","AG&P","A. Soriano Corporation",1
"54","Fisker Automotive","A123 Systems",1
"55","Fisker Automotive","A123 Systems",1
"60","Trilliant","ABB",1
"64","Trilliant","ABB",1
"65","ECOtality","ABB",1
"69","Alvine Pharmaceuticals","AbbVie",1
"73","HelioVolt","Abengoa Solar",1
"76","Brash Entertainment","ABRY Partners",1
"79","Xand","ABRY Partners",1
"86","Adchemy","Accenture",1
"88","Apigee","Accenture",1
"100","eSolar","ACME Group",1
"126","Kno","Advance Publications",1
"127","Visible Measures","Advance Publications",1
"129","Visible Measures","Advance Publications",1
"134","Row44","Advanced Inflight Alliance",1
"140","Versartis","Advent Life Sciences",1
"144","GreatPoint Energy","AES Corporation",1
"169","Moderna Therapeutics","Alexion Pharmaceuticals",1
"172","Sina Weibo","Alibaba",1
"177","Tango","Alibaba",1
"199","Highwinds","Alta Communications",1
"218","Bill Me Later","Amazon",1
"228","LivingSocial","Amazon",1
"230","LivingSocial","Amazon",1
"234","LivingSocial","Amazon",1
"246","Shazam Entertainment","Am_rica M—vil",1
"247","mobli","Am_rica M—vil",1
"250","Deem","American Express",1
"251","Deem","American Express",1
"253","Deem","American Express",1
"257","Warby Parker","American Express",1
"280","Calistoga Pharmaceuticals","Amgen",1
"284","Calistoga Pharmaceuticals","Amgen",1
"290","Calistoga Pharmaceuticals","Amgen",1
"292","PTC Therapeutics","Amgen",1
"297","Sutro Biopharma","Amgen",1
"302","Sutro Biopharma","Amgen",1
"307","Sutro Biopharma","Amgen",1
"341","Versartis","amunix",1
"443","Brightcove","AOL",1
"444","Ancestry","AOL",1
"445","KAYAK","AOL",1
"446","KAYAK","AOL",1
"453","Imagination Technologies","Apple",1
"454","Imagination Technologies","Apple",1
"461","MiaSol_","ArcelorMittal",1
"524","CipherMax","Askew International Corp",1
"560","picoChip","AT&T",1
"570","Verizon Communications, Inc.","Atlantic Tele-Network",1
"580","M.Setek","AU Optronics",1
"600","Stion","AVACO",1
"632","Qunar.com","Baidu",1
"633","Qunar.com","Baidu",1
"637","SurveyMonkey","Bank of America Merrill Lynch",1
"670","Nanosolar","Beck Energy",1
"671","Nanosolar","Beck Energy",1
"682","Jasper Wireless","Bench",1
"704","SiBEAM","Best Buy",1
"776","Tumblr","betaworks",1
"778","ideeli","betaworks",1
"874","Kabam","Betfair",1
"1095","Talend","Bpifrance",1
"1098","ChargePoint, Inc.","Braemer Energy Ventures",1
"1108","Clearwire","BrightHouse",1
"1109","Clearwire","BrightHouse",1
"1111","XDx","Bristol-Myers Squibb",1
"1112","XDx","Bristol-Myers Squibb",1
"1115","Verenium","British Petroleum",1
"1121","Tilera","Broadcom",1
"1133","REALTIME.CO","BRZtech Group",1
"1134","Roku","BSkyB",1
"1135","Roku","BSkyB",1
"1147","Solazyme","Bunge",1
"1168","Lucid Energy Group","Cadence",1
"1177","iRhythm Technologies","California HealthCare Foundation",1
"1190","Saguaro Resources","Camcor",1
"1218","Caesarea Medical Electronics","Carefusion",1
"1229","Datapipe","Caterpillar, Inc",1
"1233","Spot Runner","CBS",1
"1242","eHi Car Rental","CDH Ventures",1
"1243","55tuan.com","CDH Ventures",1
"1244","eHi Car Rental","CDH Ventures",1
"1260","Agios Pharmaceuticals","Celgene",1
"1261","Acceleron Pharma","Celgene",1
"1262","Acetylon Pharmaceuticals","Celgene",1
"1263","VentiRx Pharmaceuticals","Celgene",1
"1264","Tengion","Celgene",1
"1265","Acetylon Pharmaceuticals","Celgene",1
"1266","Sutro Biopharma","Celgene",1
"1272","Kolltan Pharmaceuticals","Celtic Therapeutics Holdings",1
"1274","Skyonic","Cenovus Energy",1
"1277","Extended Stay America","Centerbridge Partners",1
"1294","Konarka Technologies","Chevron",1
"1297","LanzaTech New Zealand","China International Capital Corporation",1
"1321","Move Networks","Cisco",1
"1323","VMware","Cisco",1
"1340","Ambow Education","Cisco",1
"1344","iControl Networks","Cisco",1
"1346","GlassHouse Technologies","Cisco",1
"1348","OZON.ru","Cisco",1
"1353","Ambow Education","Cisco",1
"1362","Mavenir Systems","Cisco",1
"1372","Apptio","Cisco",1
"1374","Tilera","Cisco",1
"1377","iControl Networks","Cisco",1
"1380","Virident Systems","Cisco",1
"1405","MuleSoft","Cisco",1
"1409","GreatPoint Energy","Citi Alternative Investments",1
"1410","VANCL","CITIC PE",1
"1418","GlassHouse Technologies","Citrix Systems",1
"1421","GlassHouse Technologies","Citrix Systems",1
"1444","Castlight Health","Cleveland Clinic",1
"1472","Clearwire","Comcast",1
"1473","Clearwire","Comcast",1
"1474","Clearwire","Comcast",1
"1482","Ancestry","Compaq",1
"1521","Skyonic","ConocoPhillips",1
"1523","Cool Planet Energy Systems","ConocoPhillips",1
"1524","Skyonic","ConocoPhillips",1
"1525","On-Ramp Wireless","ConocoPhillips",1
"1573","Collective","Cox Media Group",1
"1610","Brightcove","Cyber Communications",1
"1631","Spot Runner","Daily Mail and General Trust",1
"1632","Tesla Motors","Daimler",1
"1633","Tesla Motors","Daimler",1
"1662","TRIA Beauty","De Novo Ventures",1
"1663","TRUECar","DealerTrack",1
"1667","Biocartis","Debiopharm Group",1
"1668","Biocartis","Debiopharm Group",1
"1669","Agendia","Debiopharm Group",1
"1680","Fusion-io","Dell",1
"1693","Brightcove","Dentsu",1
"1698","Jawbone","Deutsche Telekom",1
"1701","Lookout","Deutsche Telekom",1
"1730","Alien Technology","Digital Bandwidth",1
"1745","Acumen Holdings","Dillards",1
"1760","Aperto Networks","DMC Stratex Networks",1
"1781","ZocDoc","DST Global",1
"1782","Twitter","DST Global",1
"1808","Apollo Endosurgery","East West Bancorp",1
"1811","PayPal","eBank",1
"1821","Quikr India","eBay",1
"1824","Quikr India","eBay",1
"1826","Snapdeal","eBay",1
"1830","Snapdeal","eBay",1
"1831","Quikr India","eBay",1
"1842","Arts Alliance Media","Econocom",1
"1847","Silver Spring Networks","Edison Electric Institute",1
"1851","Nanosolar","EDS",1
"1877","Sutro Biopharma","Eli Lilly",1
"1884","Aristos Logic","EMC",1
"1888","Silver Spring Networks","EMC",1
"1890","MongoDB, Inc.","EMC",1
"1899","Aristos Logic","Emulex",1
"1901","On-Ramp Wireless","Enbridge",1
"1921","Opera Solutions","Enlight",1
"1990","Zenverge","Entropic Communications",1
"2017","ACTIVE Network","ESPN",1
"2018","ACTIVE Network","ESPN",1
"2024","Desigual","Eurazeo",1
"2030","University of Ulster","European Investment Bank",1
"2039","Intelligent Energy","Evolution Placements",1
"2111","Blackberry","Fairfax Financial Holdings",1
"2135","Roku","Fidelity",1
"2148","Fab","First Round",1
"2149","Aereo","First Round",1
"2151","SolarCity","First Solar",1
"2194","moksha8 Pharmaceuticals","Forest Laboratories",1
"2195","Trevena","Forest Laboratories",1
"2204","Just Eat","Forum Synergies",1
"2221","GoPro","Foxconn International Holdings",1
"2222","Infinia","Foxconn Technology Group",1
"2229","PatientKeeper","Frazier Healthcare",1
"2231","Luxtera","Freescale Semiconductor",1
"2232","Luxtera","Freescale Semiconductor",1
"2342","NanoString Technologies","GE Healthcare",1
"2353","Pacific Biosciences","Gen-Probe",1
"2354","Roka Bioscience","Gen-Probe",1
"2355","23andMe","Genentech",1
"2356","Constellation Pharmaceuticals","Genentech",1
"2385","A123 Systems","General Electric",1
"2387","CLEAR","General Electric",1
"2388","CLEAR","General Electric",1
"2390","A123 Systems","General Electric",1
"2392","Trilliant","General Electric",1
"2393","Trilliant","General Electric",1
"2396","Pivotal","General Electric",1
"2397","Cool Planet Energy Systems","General Electric",1
"2400","Quirky","General Electric",1
"2410","Alnylam Pharmaceuticals","Genzyme",1
"2433","Genmab","GlaxoSmithKline",1
"2434","Theravance","GlaxoSmithKline",1
"2436","Concert Pharmaceuticals","GlaxoSmithKline",1
"2462","23andMe","Google",1
"2464","Tesla Motors","Google",1
"2467","Baidu","Google",1
"2470","AOL","Google",1
"2471","Current Communications Group","Google",1
"2474","23andMe","Google",1
"2480","Clearwire","Google",1
"2481","Zynga","Google",1
"2482","O3b Networks","Google",1
"2484","BrightSource Energy","Google",1
"2485","Alta Wind Energy Center","Google",1
"2488","EDF Renewable Energy","Google",1
"2513","Spot Runner","Groupe Arnault/LVMH",1
"2518","INVIDI Technologies","GroupM",1
"2519","INVIDI Technologies","GroupM",1
"2528","Spot Runner","Grupo Televisa",1
"2697","Current Communications Group","Hearst Corporation",1
"2723","Inside Secure.","HID Global",1
"2739","Silver Spring Networks","Hitachi GST",1
"2749","Delivery Hero","Holtzbrinck",1
"2810","Brightcove","IAC/InterActiveCorp",1
"2811","Brightcove","IAC/InterActiveCorp",1
"2815","Aereo","IAC/InterActiveCorp",1
"2816","Aereo","IAC/InterActiveCorp",1
"2817","Aereo","IAC/InterActiveCorp",1
"2836","Cooking.com","Idealab",1
"2837","Cooking.com","Idealab",1
"2838","Cooking.com","Idealab",1
"2840","eSolar","Idealab",1
"2841","Infinia","Idealab",1
"2842","Infinia","Idealab",1
"2844","Infinia","Idealab",1
"2875","Oxford Nanopore Technologies","Illumina",1
"2964","Aristos Logic","Infineon Technologies",1
"3027","Imagination Technologies","Intel",1
"3029","Clearwire","Intel",1
"3030","picoChip","Intel",1
"3031","Clearwire","Intel",1
"3032","Clearwire","Intel",1
"3034","VMware","Intel",1
"3038","Cloudera","Intel",1
"3039","JustFab","Intelligent Beauty",1
"3041","JustFab","Intelligent Beauty",1
"3049","Inverness Medical Innovations","International Vitamin",1
"3053","Spot Runner","Interpublic Group",1
"3071","Siano Mobile Silicon","Inventec Appliances",1
"3073","CipherMax","Inventec Appliances",1
"3074","Impinj","Inventec Appliances Corp. (TSEC:3367)",1
"3085","Rhythm Pharmaceuticals","Ipsen",1
"3086","Rhythm Pharmaceuticals","Ipsen",1
"3108","Sungevity","Isolventures",1
"3111","Spacecom","Israel Aerospace Industries",1
"3113","Better Place","Israel Corp",1
"3126","Brightcove","J-Stream",1
"3134","Mintera","JDS Uniphase Corporation",1
"3162","Crucell","Johnson & Johnson",1
"3173","Apigee","Juniper Networks",1
"3174","FireEye","Juniper Networks",1
"3180","Violin Memory","Juniper Networks",1
"3182","Violin Memory","Juniper Networks",1
"3183","Vidyo","Juniper Networks",1
"3195","BridgeLux","Kaistar Lighting",1
"3215","Affirmed Networks","KCK Group",1
"3260","Fotolia","KKR",1
"3261","Sonos","KKR",1
"3262","Sonos","KKR",1
"3289","Tower Cloud","Knology",1
"3304","Delivery Hero","Kreos",1
"3315","Dicerna Pharmaceuticals","Kyowa Hakko Kirin",1
"3341","Knopp Biosciences LLC","LaunchCyte",1
"3342","Knopp Biosciences LLC","LaunchCyte",1
"3368","MBA Polymers","Less Plastics",1
"3371","Sangart","Leucadia National",1
"3372","Sangart","Leucadia National",1
"3386","Joyent","Liberty Global",1
"3392","Sirius XM Radio, Inc.","Liberty Media",1
"3419","CLEAR","Lockheed Martin",1
"3431","ChargePoint, Inc.","LS Industrial Systems",1
"3437","Aquantia","LSI",1
"3446","Proximagen","Lundbeck",1
"3454","Relationship Science","MacAndrews & Forbes Holdings",1
"3456","Box","Macnica Networks Corp.",1
"3499","Mainstream Renewable Power","Marubeni Corporation",1
"3507","A123 Systems","Massachusetts Institute of Technology (MIT)",1
"3601","Ikang","Matrix Partners China",1
"3681","Nevro","Mayo Clinic Rochester",1
"3682","Nevro","Mayo Clinic Rochester",1
"3687","LinkedIn","McGraw-Hill Companies",1
"3733","CardioMEMS","Medtronic",1
"3735","GI Dynamics","Medtronic",1
"3740","Spinal Modulation","Medtronic",1
"3779","Facebook","Microsoft",1
"3780","Move Networks","Microsoft",1
"3782","Move Networks","Microsoft",1
"3784","N-Trig","Microsoft",1
"3787","AppNexus","Microsoft",1
"3789","Adchemy","Microsoft",1
"3791","Barnes & Noble","Microsoft",1
"3793","Nook Media","Microsoft",1
"3798","Foursquare","Microsoft",1
"3823","Virdia","Mississippi Development Authority",1
"3829","Aperto Networks","Mitsubishi Motors",1
"3836","A10 Networks","Mitsui & Co",1
"3847","Box","Mitsui & Co",1
"3849","Kaltura","Mitsui & Co",1
"3878","Pacific Biosciences","Monsanto",1
"3893","PatientKeeper","Mosaix",1
"3894","Solaria","Moserbaer India",1
"3898","Ooyala","Motorola Mobility",1
"3899","Zenverge","Motorola Mobility",1
