,name
35123,"Verizon Communications, Inc."
6634,Clearwire
29349,sigmacare
11276,Facebook
5592,Carestream
6108,Charter Communications
30352,Solyndra
11784,Fisker Automotive
22902,O3b Networks
5420,Cape Wind
32571,Terra-Gen Power
34220,Twitter
13832,Groupon
36928,Xerox
29584,"Sirius XM Radio, Inc."
36036,Wave Broadband
6802,Cloudera
2042,AOL
4215,Blackberry
4313,Bloom Energy
2527,Army & Air Force Exchange Service
18642,LivingSocial
31668,SurveyMonkey
23960,Palantir Technologies
37859,Zynga
4904,BrightSource Energy
11720,FireEye
32599,Tesla Motors
16704,Jack in the Box
14046,Hamilton Insurance Group
30274,SolarCity
34540,University of Maryland
28129,Salix Pharmaceuticals
32429,Telefonica
3739,Better Place
7165,Comcast
1577,Alnylam Pharmaceuticals
25504,PPTV
28540,Seagate Technology
35187,VF Holding
3531,Beacon Holding
14086,Hanwha SolarOne
31532,SunEdison
10377,Enel OGK-5
15991,Integra Telecom
9491,Dropbox
35144,Vertex Pharmaceuticals
29532,Sina Weibo
37519,ZeniMax
26305,Qihoo 360 Technology
5695,Casey's General Stores
12802,GENBAND
11168,Extended Stay America
35646,Vivint
24897,Pinterest
13652,GreatPoint Energy
12369,FriendFinder Networks
12570,G4S
11940,Flipkart
19122,M.Setek
30848,Spotify
26526,Quintiles
11760,First Wind
21680,Nanosolar
20743,Mobileye
27881,Rouse Properties
408,Abound Solar
14644,HomeAway
352,A123 Systems
36027,Watson Pharmaceuticals
14436,Hersha Hospitality Trust
15229,IHS Holding
8491,Datapipe
30211,SoFi (Social Finance)
27265,Renren Inc.
34856,VANCL
29830,Small Bone Innovations
8647,Deem
20259,MiaSol_
3845,Bigpoint
16265,Invenergy
30327,SoloPower
14635,Hologic
34243,Tyco Electronics Group
30237,Sogou
8041,Crucell
8590,DealerTrack
18019,Lazada Group
11754,First Solar
18267,Liberty Global
1852,Amyris Biotechnologies
26789,Raven Power Finance
4680,Box
1478,Alitalia
23218,OnDeck
26427,QuantRx Biomedical
4793,Brash Entertainment
1422,Alere
13341,GMR Group
26919,Reata Pharmaceuticals
11338,Fanatics
22551,Nook Media
26549,Qunar.com
31814,Symphogen
3870,Billabong International
1811,Amp'd Mobile
7513,Controladora Comercial Mexicana
16769,Jawbone
32134,Tango
35697,VMware
847,ADMI Holdings
8807,Desigual
14015,Haier
16353,IO.com
29430,Silver Spring Networks
36062,Wayfair
6864,Clovis Oncology
4645,Boston Power
28956,Servicelink Holdings
31254,Stormfisher Biogas
6213,China Everbright International
36946,Xiaomi
1984,Answers Corporation
30946,Square
18266,Liberty Dialysis
31560,Sunrun
11258,Fab
29996,Snapdeal
15983,Intarcia Therapeutics
1883,Ancestry
23976,Palo Alto Networks
1264,Airbnb
30419,Sonos
7285,CompuCom Systems Holding
33500,Towergate
27214,Relypsa
17714,Kosmos Biotherapeutics
14720,Horizon Wind Energy
11505,FDO Holdings
31538,SunGard
28198,Sangart
28087,Saguaro Resources
33792,Triangle Acquisition
14521,Highwinds
10701,eRecycling Corps
34303,Uber
35321,View Inc.
33498,Tower Vision
9671,Eagle Energy Exploration
5635,Carrier Energy Partners
3435,Barnes & Noble
1251,Aiming
4956,Brocade Communications Systems
19908,MedSolutions
27427,"RetailMeNot, Inc."
17478,Kior
13476,Goodman Networks
10128,Elevance Renewable Sciences
30536,Spacecom
7328,Concur Technologies
26717,Rambus
13504,GoPro
16232,Intrexon Corporation
13772,GridPoint
28238,Sapphire Energy
33967,TRUECar
4905,Brightstar
17545,Klarna
35647,Vivint Solar
7756,Coupons.com
32523,Tengion
1271,AirCell
18130,Legendary Entertainment
18954,Lucid Energy Group
14835,Huiyuan
35760,Voltari
22577,NorSun
31578,Supercell
10040,eHi Car Rental
35397,Violin Memory
10855,Eurus Energy Holdings
18125,LegalZoom
17802,KV Pharmaceutical
16493,Ironwood Pharmaceuticals
18363,LightSquared
17909,Landis+Gyr
25897,Prometheus Laboratories
15907,Inspiration Biopharmaceuticals
35590,Vital Renewable Energy Company
33916,TriVascular
18345,Lighting Science Group
23900,Pacific Biosciences
33983,Trulia
30266,Solar Power Partners
14354,HelioVolt
428,AC Holdco
6158,Chegg
26415,Quantenna Communications
32597,TESARO
3103,AVG Technologies
28989,Seven Generations Energy
25754,Privalia
10926,Evernote
19484,Markit
22438,Nippon Renewable Energy
1065,AerSale Holdings
1487,Alkermes
22172,New York Times
34814,Valeritas
3803,Bicon Pharmaceutical
34530,Universal Studios Japan
23881,P2 Energy Solutions
26179,Pure Storage
8347,Dafiti
9297,Domo
830,Adknowledge
13395,Gogo
3715,BestSecret.com
30956,SquareTrade
23485,Ophthotech
36835,Wyle
30527,Space Exploration Technologies
4857,BridgeLux
435,Acacia Research
36924,Xero
7881,Cree
20387,Millennial Media
29413,Silicor Materials
10546,Entrec
9630,E Ink Holdings
37407,ZALORA
20975,Monitise
35859,Vubiquity
27863,Rostelecom
13106,Gilt Groupe
17223,KAYAK
24342,Pearl Therapeutics
20972,"MongoDB, Inc."
26682,RagingWire
21995,Netflix
6946,Coda Automotive
1669,AltraBiofuels
34549,University of Ulster
2781,ATI Physical Therapy
8728,Demand Media
37459,Zayo Bandwidth
23230,One Kings Lane
12225,Fotolia
1316,AirWatch
20837,Moderna Therapeutics
31544,Suniva
33783,TRIA Beauty
8709,Delivery Hero
4391,BlueArc
2452,Arena Pharmaceuticals
18161,Lending Club
31195,Stion
7367,ConforMIS
30288,SolarWinds
8930,Dicerna Pharmaceuticals
15744,InMobi
7009,Cogeco Cable
8832,Devcon Security Services
648,ACTIVE Network
26669,Radius Health
1462,Alien Technology
28351,Scandlines
15044,Icera
23836,Oxford Nanopore Technologies
23381,OPE GEDC Holdings
30306,SolFocus
13458,Good Technology
22686,NovImmune
23794,Oversee
26025,ProtoStar
30276,Solarflare Communications
5521,CardioDx
613,Actifio
18461,LinkedIn
23490,OPKO Health
16643,Ivey Business School
14141,Harvest Power
9249,DocuSign
16535,Isis Pharmaceuticals
29647,SKAI Holdings
5517,Cardinal Midstream
13769,Gridline Communications
9895,EDF Renewable Energy
33577,Tradition Midstream
243,55tuan.com
36867,Xand
36975,XM Radio
19376,MannKind Corporation
457,Accelera Innovations
7935,Crocs
4830,Brenco
51,1C Company
13067,Gigabit Squared
13165,Glam Media
10879,Eventbrite
26148,Puma Biotechnology
27251,Renewable Energy Group
14729,Hortonworks
24286,PayPal
23202,OncoMed Pharmaceuticals
20390,Millennium Laboratories
25053,Plastic Logic
6224,China South City Holdings
11820,Five Below
10409,Enerkem
10754,eSolar
1859,Anacor Pharmaceutical
21148,Movetis
24223,Patient-Centered Outcomes Research Institute
16837,Jingdong
9457,Drillinginfo
3200,Axiata
14701,HootSuite
12737,GCT Semiconductor
13853,Growlife
11032,ExactTarget
26730,Range Fuels
23501,Opsware
19984,Melinta
31307,Stream Global Services
20902,moksha8 Pharmaceuticals
33850,Trion Worlds
23447,OpenPeak
28910,Sequenom
10110,Element Power
36647,Wolf Minerals
1933,Angie's List
30283,SolarReserve
21426,Myer
34763,UTStarcom
33627,"TransEnterix, Inc."
19661,MC Acquisition Holdings
29420,SilkRoad Technology
18303,LifeLock
35593,Vital Therapies
26103,PTC Therapeutics
27131,Regado Biosciences
5723,Castlight Health
3928,Biocartis
31539,Sungevity
1784,Amgen
26534,Quirky
13643,Great Atlantic & Pacific Tea
36708,Workday
22163,New Relic
15356,immatics biotechnologies
11605,Fieldglass
5849,Celframe
15985,Intcomex
9801,ECI Telecom
30302,Solexa
2865,Auctionata
3977,Biolex Therapeutics
22838,Nutanix
23036,Official Limited Virtual
17841,L-3 GCS
1806,Amonix
4097,Birch Communications
24072,Paragon Print & Packaging Group
37725,Zogenix
1724,Ambow Education
8169,CureVac
14933,Hyperion Therapeutics
111,2degreesmobile
17952,Lashou.com
22467,NJOY
17033,JustFab
28576,Seattle Genetics
20114,Meru Networks
16282,Inverness Medical Innovations
12247,Foursquare
8914,Dianping
7713,Cortina Systems
14718,Horizon Pharma
3356,Baidu
28708,Segway
19516,Mascoma
11938,Flipboard
2071,Aperto Networks
12950,Geosign
21480,Myntra
31486,SulfurCell
19269,Mainstream Renewable Power
10474,Enobia Pharma
25390,Portola Pharmaceuticals
37009,Xplornet Communications
8587,Dealer Tire
12872,Genmab
15620,Infinity Pharmaceuticals
35547,Visto
11171,ExteNet Systems
16763,Jasper Wireless
25510,Practice Fusion
19213,Magix
21918,NeoPhotonics
26375,Quaero
2354,Aquantia
18176,LensAR
16055,Intelligent Energy
4635,Borro
29004,"SevOne, Inc."
18556,Lithium Technologies
8841,DEVICOR MEDICAL PRODUCTS GROUP
549,Acetylon Pharmaceuticals
543,Acer
32422,TeleCommunication Systems
3062,Avantha
22804,Numonyx
21771,NatureWorks
25536,Precision for Medicine
4210,Black Swan Energy
29322,Sientra
8297,CyrusOne
17197,Karoon Gas Australia
5823,Cedar Realty Trust
16948,Joule Unlimited
1837,ams AG
7431,Constellation Pharmaceuticals
8670,Deezer
22386,NicOx
16468,IRI Group Holdings
11187,Extreme Reach
13655,GREE International
7678,Cornice
15608,Infinia
20691,Mobile Iron
26078,Prysm
15247,ikaSystems
7888,Crescendo Bioscience
